building_id,bldg_name,use_type,use_sub,barangay,brgy_id,municipality,height_m,floors,area_sqm,cen_x,cen_y,ground_elev_m,dist_to_stp_m,required_depth_at_stp_m,sewer_feasibility,exclusion_reason,alternative_service
43013,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,18.13,593298.98,1066734.09,0.03,1067.9,10.15,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
45306,,Residential,Other Residential,Cogon,26.0,Tagbilaran City,4.41,2,41.09,593267.33,1066788.53,0.13,1034.8,9.86,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
44147,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,27.46,593292.82,1066719.87,0.76,1083.3,9.51,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
43224,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,17.78,593249.84,1066790.42,0.56,1041.9,9.47,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
40427,,Residential,Other Residential,Cogon,26.0,Tagbilaran City,5.81,2,66.02,593288.17,1066779.94,0.69,1032.2,9.29,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
40271,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,131.9,593303.62,1066726.88,1.0,1072.3,9.2,Sewer Feasible,GW Depth,FSM (septic + desludging) or DEWATS
42192,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,4.25,2,28.71,593311.84,1066730.7,1.14,1065.2,9.03,Sewer Feasible,GW Depth,FSM (septic + desludging) or DEWATS
41695,,Residential,Other Residential,Cogon,26.0,Tagbilaran City,5.79,2,32.54,593284.47,1066787.66,1.2,1027.2,8.75,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
44283,,Residential,Other Residential,Cogon,26.0,Tagbilaran City,4.440000000000002,2,38.07,593276.84,1066790.45,1.38,1028.5,8.58,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
40242,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,31.0,593309.71,1066722.23,2.12,1073.8,8.09,Sewer Feasible,GW Depth,FSM (septic + desludging) or DEWATS
41789,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,4.45,2,176.61,593013.19,1067191.11,1.29,912.9,8.02,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
43542,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,4.58,2,27.12,593013.71,1067206.59,1.26,904.1,8.0,Sewer Feasible,GW Depth + Tourism,FSM (septic + desludging) or DEWATS
